sid,protocol,options,contents
2404447,ip,3,0
2404448,ip,3,0
2404449,ip,3,0
2404450,ip,3,0
2404451,ip,3,0
2404452,ip,3,0
2404453,ip,3,0
2404454,ip,3,0
2404455,ip,3,0
2404456,ip,3,0
2404457,ip,3,0
2404458,ip,3,0
2404459,ip,3,0
2404460,ip,3,0
2404461,ip,3,0
2404462,ip,3,0
2404463,ip,3,0
2404464,ip,3,0
2404465,ip,3,0
2404466,ip,3,0
2404467,ip,3,0
2404468,ip,3,0
2404469,ip,3,0
2404470,ip,3,0
2404471,ip,3,0
2404472,ip,3,0
2404473,ip,3,0
2404474,ip,3,0
2404475,ip,3,0
2404476,ip,3,0
2404477,ip,3,0
2404478,ip,3,0
2404479,ip,3,0
2404480,ip,3,0
2404481,ip,3,0
2404482,ip,3,0
2404483,ip,3,0
2404484,ip,3,0
2404485,ip,3,0
2404486,ip,3,0
2404487,ip,3,0
2404488,ip,3,0
2404489,ip,3,0
2404490,ip,3,0
2404491,ip,3,0
2404492,ip,3,0
2404493,ip,3,0
2404494,ip,3,0
2404495,ip,3,0
2404496,ip,3,0
2404497,ip,3,0
2404498,ip,3,0
2404499,ip,3,0
2404500,ip,3,0
2404501,ip,3,0
2404502,ip,3,0
2404503,ip,3,0
2404504,ip,3,0
2404505,ip,3,0
2404506,ip,3,0
2404507,ip,3,0
2404508,ip,3,0
2404509,ip,3,0
2404510,ip,3,0
2404511,ip,3,0
2404512,ip,3,0
2404513,ip,3,0
2404514,ip,3,0
2404515,ip,3,0
2404516,ip,3,0
2404517,ip,3,0
2404518,ip,3,0
2404519,ip,3,0
2404520,ip,3,0
2404521,ip,3,0
2404522,ip,3,0
2404523,ip,3,0
2404524,ip,3,0
2404525,ip,3,0
2404526,ip,3,0
2404527,ip,3,0
2404528,ip,3,0
2404529,ip,3,0
2404530,ip,3,0
2404531,ip,3,0
2404532,ip,3,0
2404533,ip,3,0
2404534,ip,3,0
2404535,ip,3,0
2404536,ip,3,0
2404537,ip,3,0
2404538,ip,3,0
2404539,ip,3,0
2404540,ip,3,0
2404541,ip,3,0
2404542,ip,3,0
2404543,ip,3,0
2404544,ip,3,0
2404545,ip,3,0
2404546,ip,3,0
2404547,ip,3,0
2404548,ip,3,0
2404549,ip,3,0
2404550,ip,3,0
2404551,ip,3,0
2404552,ip,3,0
2404553,ip,3,0
2404554,ip,3,0
2404555,ip,3,0
2404556,ip,3,0
2404557,ip,3,0
2404558,ip,3,0
2404559,ip,3,0
2404560,ip,3,0
2404561,ip,3,0
2404562,ip,3,0
2404563,ip,3,0
2404564,ip,3,0
2404565,ip,3,0
2404566,ip,3,0
2404567,ip,3,0
2404568,ip,3,0
2403300,ip,1,0
2403301,ip,1,0
2403302,ip,1,0
2403303,ip,1,0
2403304,ip,1,0
2403305,ip,1,0
2403306,ip,1,0
2403307,ip,1,0
2403308,ip,1,0
2403309,ip,1,0
2403310,ip,1,0
2403311,ip,1,0
2403312,ip,1,0
2403313,ip,1,0
2403314,ip,1,0
2403315,ip,1,0
2403316,ip,1,0
2403317,ip,1,0
2403318,ip,1,0
2403319,ip,1,0
2403320,ip,1,0
2403321,ip,1,0
2403322,ip,1,0
2403323,ip,1,0
2403324,ip,1,0
2403325,ip,1,0
2403326,ip,1,0
2403327,ip,1,0
2403328,ip,1,0
2403329,ip,1,0
2403330,ip,1,0
2403331,ip,1,0
2403332,ip,1,0
2403333,ip,1,0
2403334,ip,1,0
2403335,ip,1,0
2403336,ip,1,0
2403337,ip,1,0
2403338,ip,1,0
2403339,ip,1,0
2403340,ip,1,0
2403341,ip,1,0
2403342,ip,1,0
2403343,ip,1,0
2403344,ip,1,0
2403345,ip,1,0
2403346,ip,1,0
2403347,ip,1,0
2403348,ip,1,0
2403349,ip,1,0
2403350,ip,1,0
2403351,ip,1,0
2403352,ip,1,0
2403353,ip,1,0
2403354,ip,1,0
2403355,ip,1,0
2403356,ip,1,0
2403357,ip,1,0
2403358,ip,1,0
2403359,ip,1,0
2403360,ip,1,0
2403361,ip,1,0
2403362,ip,1,0
2403363,ip,1,0
2403364,ip,1,0
2403365,ip,1,0
2403366,ip,1,0
2403367,ip,1,0
2403368,ip,1,0
2403369,ip,1,0
2403370,ip,1,0
2403371,ip,1,0
2403372,ip,1,0
2403373,ip,1,0
2403374,ip,1,0
2403375,ip,1,0
2403376,ip,1,0
2403377,ip,1,0
2403378,ip,1,0
2403379,ip,1,0
2403380,ip,1,0
2403381,ip,1,0
2403382,ip,1,0
2403383,ip,1,0
2403384,ip,1,0
2403385,ip,1,0
2403386,ip,1,0
2403387,ip,1,0
2403388,ip,1,0
2403389,ip,1,0
2403390,ip,1,0
2403391,ip,1,0
2403392,ip,1,0
2403393,ip,1,0
2403394,ip,1,0
2403395,ip,1,0
2403396,ip,1,0
2403397,ip,1,0
2403398,ip,1,0
2403399,ip,1,0
2500000,ip,1,0
2500002,ip,1,0
2500004,ip,1,0
2500006,ip,1,0
2500008,ip,1,0
2500010,ip,1,0
2500012,ip,1,0
2500014,ip,1,0
2500016,ip,1,0
2500018,ip,1,0
2500020,ip,1,0
2500022,ip,1,0
2500024,ip,1,0
2500026,ip,1,0
2500028,ip,1,0
2500030,ip,1,0
2500032,ip,1,0
2500034,ip,1,0
2500036,ip,1,0
2500038,ip,1,0
2500040,ip,1,0
2500042,ip,1,0
2500044,ip,1,0
2500046,ip,1,0
2500048,ip,1,0
2500050,ip,1,0
2500052,ip,1,0
2500054,ip,1,0
2500056,ip,1,0
2500058,ip,1,0
2500060,ip,1,0
2500062,ip,1,0
2500064,ip,1,0
2500066,ip,1,0
2500068,ip,1,0
2500070,ip,1,0
2500072,ip,1,0
2500074,ip,1,0
2500076,ip,1,0
2500078,ip,1,0
2500080,ip,1,0
2400000,ip,3,0
2400001,ip,3,0
2400002,ip,3,0
2400003,ip,3,0
2400004,ip,3,0
2400005,ip,3,0
2400006,ip,3,0
2400007,ip,3,0
2400008,ip,3,0
2400009,ip,3,0
2400010,ip,3,0
2400011,ip,3,0
2400012,ip,3,0
2400013,ip,3,0
2400014,ip,3,0
2400015,ip,3,0
2400016,ip,3,0
2400017,ip,3,0
2400018,ip,3,0
2400019,ip,3,0
2400020,ip,3,0
2400021,ip,3,0
2400022,ip,3,0
2400023,ip,3,0
2400024,ip,3,0
2400025,ip,3,0
2400026,ip,3,0
2400027,ip,3,0
2400028,ip,3,0
2400029,ip,3,0
2400030,ip,3,0
2400031,ip,3,0
2400032,ip,3,0
2400033,ip,3,0
2402000,ip,3,0
2010658,tcp,6,3
2011207,tcp,12,5
2010943,tcp,4,2
2008791,tcp,6,3
2010944,tcp,6,3
2011200,http,12,5
2011201,http,12,5
2011203,http,12,5
2011204,http,12,5
2011202,http,12,5
2011205,http,12,5
2011206,http,6,2
2010705,http,6,3
2010726,http,7,3
2010921,http,7,3
2009620,http,6,2
2009621,http,6,2
2009622,http,6,2
2009623,http,6,2
2009624,http,6,2
2009625,http,6,2
2009626,http,6,2
2009627,http,6,2
2009628,http,6,2
2009629,http,6,2
2009630,http,6,2
2009631,http,6,2
2009632,http,6,2
2009633,http,6,2
2009634,http,6,2
2009635,http,6,2
2009636,http,6,2
2009638,http,6,2
2009639,http,6,2
2009640,http,6,2
2009641,http,6,2
2009642,http,6,2
2010245,http,6,3
2010190,http,6,3
2010987,http,6,3
2011211,http,6,3
2011130,http,6,3
2010995,http,6,3
2010208,http,6,2
2010209,http,6,2
2010210,http,6,3
2010211,http,6,3
2010212,http,6,3
2011213,http,6,3
2010036,http,7,3
2010154,http,8,3
2010155,http,8,3
2010930,http,6,3
2010368,http,6,3
2010374,http,6,3
2010999,http,6,2
2010482,http,6,3
2003103,http,4,2
2003105,http,5,3
2003162,http,3,2
2003163,http,3,2
2003164,http,3,2
2003165,http,3,2
2003166,http,3,2
2003514,http,3,2
2003231,http,5,3
2003232,http,5,3
2003233,http,4,2
2003234,http,4,2
2001181,http,3,2
2008621,http,6,3
2011250,http,12,5
2007853,http,5,3
2007931,http,12,6
2011048,http,7,3
2010257,http,6,3
2010258,http,4,2
2010279,http,7,3
2009115,http,6,3
2011049,http,6,3
2009434,http,6,2
2002889,http,3,1
2010012,http,7,3
2008129,http,9,3
2011050,http,7,3
2010851,http,7,3
2010364,http,6,3
2010366,http,6,3
2011021,http,6,3
2010467,http,6,2
2010370,http,6,3
2010959,http,6,3
2010835,http,6,3
2010837,http,6,3
2010703,http,6,3
2010690,http,6,3
2010977,http,4,2
2010560,http,6,3
2010561,http,6,3
2010692,http,6,3
2010357,http,6,3
2011509,http,7,3
2011412,http,7,3
2007847,http,4,3
2011010,tcp,4,2
2010665,tcp,4,2
2011675,tcp,7,3
2009598,tcp,6,2
2009599,tcp,6,2
2009600,tcp,6,2
2009601,tcp,6,2
2009602,tcp,6,2
2009603,tcp,6,2
2009604,tcp,6,2
2009606,tcp,6,2
2008407,tcp,4,1
2008408,tcp,4,1
2008409,tcp,5,2
2009607,tcp,6,2
2009609,tcp,6,2
2009610,tcp,6,2
2009611,tcp,6,2
2009613,tcp,6,2
2009614,tcp,6,2
2009615,tcp,6,2
2009616,tcp,6,2
2009617,tcp,6,2
2009618,tcp,6,2
2009619,tcp,6,2
2010039,http,5,3
2010160,http,4,2
2010814,http,4,2
2010962,http,4,2
2009868,http,6,2
2010256,http,4,2
2009688,http,3,1
2009689,http,3,1
2010011,http,4,2
2010986,http,4,2
2011129,http,4,2
2008612,http,3,2
2009399,http,3,1
2009792,http,3,2
2009857,http,3,2
2009425,http,3,2
2009657,http,3,2
2010203,http,4,2
2010204,http,4,2
2010205,http,4,2
2010206,http,4,2
2010207,http,4,2
2010280,http,4,2
2008099,http,4,2
2008607,http,3,2
2008814,http,3,2
2008870,http,3,2
2009046,http,3,2
2009500,http,3,2
2009064,http,3,2
2007851,http,4,3
2011210,http,12,5
2011212,http,9,4
2008127,http,4,1
2007905,http,4,3
2011055,http,4,2
2010035,http,4,2
2008963,http,4,3
2009948,http,10,4
2010253,http,4,2
2010278,http,4,2
2010277,http,4,2
2009102,http,3,2
2009063,http,3,2
2009402,http,4,2
2009403,http,4,2
2008999,http,3,2
2009184,http,3,2
2011251,http,9,4
2009120,http,3,1
2010929,http,4,2
2007852,http,4,3
2008613,http,3,2
2009328,http,3,2
2009160,http,3,1
2009161,http,3,1
2009162,http,3,1
2010367,http,4,2
2010760,http,4,2
2010010,http,5,3
2010611,http,4,2
2010612,http,4,2
2010613,http,4,2
2010614,http,4,2
2010778,http,4,2
2010779,http,4,2
2011075,http,4,2
2009404,http,3,1
2010373,http,4,2
2008678,http,3,1
2010997,http,4,2
2010998,http,4,2
2008618,tcp,3,2
2010483,http,4,2
2003102,http,4,2
2003158,http,2,1
2003159,http,2,1
2003160,http,2,1
2003161,http,2,1
2002971,http,3,1
2010263,http,3,1
2010264,http,3,1
2010292,http,3,1
2010293,http,3,1
2010294,http,3,1
2010295,http,3,1
2010296,http,3,1
2010297,http,3,1
2010298,http,3,1
2010299,http,3,1
2010300,http,3,1
2010301,http,3,1
2010302,http,3,1
2010303,http,3,1
2010304,http,3,1
2010305,http,3,1
2010306,http,3,1
2010307,http,3,1
2010308,http,3,1
2010309,http,3,1
2010310,http,3,1
2010311,http,3,1
2010313,tcp,3,1
2010314,tcp,3,1
2010315,tcp,3,1
2010316,tcp,3,1
2010317,tcp,3,1
2010318,tcp,3,1
2010319,tcp,3,1
2010320,tcp,3,1
2010321,tcp,3,1
2010322,tcp,3,1
2010323,tcp,3,1
2010324,tcp,3,1
2010325,tcp,3,1
2010326,tcp,3,1
2010327,tcp,3,1
2010328,tcp,3,1
2010329,tcp,3,1
2010330,tcp,3,1
2010331,tcp,3,1
2010332,tcp,3,1
2009400,http,3,1
2008792,http,3,2
2008993,http,6,3
2010562,http,4,2
2010563,http,4,2
2008925,http,3,2
2008226,http,8,3
2008887,http,8,3
2010358,http,5,2
2009411,http,4,2
2009104,http,3,1
2009401,http,3,1
2009121,http,3,2
2009178,http,3,2
2009923,http,4,2
2010693,http,4,2
2010694,http,4,2
2009314,http,3,2
2010363,http,4,2
2010029,http,3,2
2008173,http,4,3
2009858,http,3,1
2009002,http,3,2
2008683,http,6,3
2009315,http,3,1
2010365,http,4,2
2009907,http,3,1
2011020,http,4,2
2007904,http,4,3
2007998,http,7,3
2011253,http,3,2
2010839,http,4,2
2009725,http,3,2
2009735,http,3,2
2010013,http,6,3
2010219,http,4,2
2010468,http,4,2
2010469,http,4,2
2010470,http,4,2
2010471,http,4,2
2010472,http,4,2
2010481,http,4,2
2010957,http,4,2
2009047,http,3,2
2009869,http,4,2
2010456,http,4,2
2009226,http,3,2
2009322,http,3,1
2011690,http,4,2
2007932,http,5,3
2009373,http,3,1
2009385,http,3,2
2009847,http,3,1
2010227,http,4,2
2010369,http,4,2
2010958,http,4,2
2010691,http,4,2
2008128,http,4,2
2009894,tcp,4,2
2009893,tcp,4,2
2010161,tcp,4,2
2010834,tcp,4,2
2010702,tcp,4,2
2008869,tcp,3,2
2008895,tcp,5,2
2010840,tcp,6,3
2011126,tcp,4,2
2009136,tcp,3,1
2010852,tcp,4,2
2008062,http,4,2
2008225,http,5,2
2008619,http,3,2
2010978,http,7,3
2008620,http,6,3
2007903,tcp,4,3
2002861,tcp,2,0
2003328,http,7,3
2009334,http,3,1
2010356,http,4,2
2009187,tcp,3,1
2011692,http,12,5
2011681,http,6,3
2011722,http,12,5
2008790,http,9,4
2010657,http,6,2
2011801,http,12,5
2011590,http,6,3
2011870,http,6,3
2011869,http,13,5
2011867,http,7,3
2008809,http,3,1
2008810,http,3,1
2008811,http,3,1
2008812,http,3,1
2011249,http,5,2
2009469,tcp,3,2
2009687,http,3,1
2002724,tcp,2,1
2009143,http,3,2
2008789,http,4,2
2011589,http,4,2
2012157,tcp,6,2
2012192,http,6,2
2012194,http,6,2
2010312,http,3,1
2012206,tcp,6,2
2012231,http,6,2
2012232,tcp,6,2
2012233,http,6,2
2012234,http,8,3
2012543,http,8,3
2012636,http,6,2
2012637,http,6,2
2012638,http,6,2
2012639,http,6,2
2012640,http,6,2
2012641,http,13,5
2012158,http,3,1
2012741,http,13,5
2012742,http,6,3
2011007,tcp,11,4
2012905,http,6,2
2012929,http,6,2
2012930,http,8,3
2013119,http,4,1
2013132,http,13,5
2013131,http,13,5
2013130,http,13,5
2013163,http,13,5
2013162,http,13,5
2013161,http,13,5
2013160,http,13,5
2013233,http,13,5
2013232,http,13,5
2013432,http,13,5
2013431,http,13,5
2013430,http,13,5
2013429,http,13,5
2013428,http,13,5
2013565,http,12,4
2013566,http,5,2
2013750,http,8,3
2013814,http,7,4
2013813,http,14,6
2013812,http,7,4
2013811,http,14,6
2013810,http,7,4
2013809,http,14,6
2103148,http,3,1
2014325,http,6,3
2014326,http,6,3
2014390,http,12,5
2014391,http,6,3
2014417,http,8,3
2014416,http,9,3
2014423,http,6,3
2014421,http,6,3
2014420,http,6,3
2014419,http,6,3
2014418,http,6,3
2014422,http,6,3
2014451,tcp,8,3
2014453,http,8,3
2014454,http,8,3
2014455,http,8,3
2014456,http,8,3
2012218,http,13,5
2014452,http,8,3
2008673,http,4,1
2014550,http,8,3
2014551,http,8,3
2014552,http,8,3
2014553,http,8,3
2014585,http,8,3
2014586,http,8,3
2014587,http,8,3
2014588,http,8,3
2014593,http,8,3
2014594,http,8,3
2014619,http,8,3
2014620,http,8,3
2014651,tcp,8,3
2014650,http,8,3
2014648,http,8,3
2014649,http,8,3
2014652,http,8,3
2014653,http,8,3
2014708,http,8,3
2014709,http,8,3
2014710,http,8,3
2014713,http,8,3
2014714,http,8,3
2014903,http,8,3
2014902,http,8,3
2014896,http,8,3
2014942,http,8,3
2014943,http,8,3
2014991,http,8,3
2014992,http,8,3
2015032,http,8,3
2015036,http,8,3
2015037,http,8,3
2015464,http,8,3
2011173,http,12,4
2015490,http,8,3
2015491,http,8,3
2015493,http,8,3
2015492,http,8,3
2015465,http,8,3
2015537,http,8,3
2015538,http,8,3
2015539,http,8,3
2015564,http,8,3
2015566,http,8,3
2015567,http,8,3
2015563,http,8,3
2015606,http,8,3
2015607,http,8,3
2015608,http,8,3
2015636,http,8,3
2015643,http,8,3
2015644,http,8,3
2007878,http,7,2
2012102,http,7,3
2012145,http,13,4
2012146,http,18,6
2012147,http,7,3
2012148,http,9,3
2012133,http,9,3
2016041,http,8,3
2016084,http,10,3
2016085,http,10,3
2016118,http,8,3
2016160,http,10,3
2016161,http,10,3
2016162,http,10,3
2016197,http,10,3
2016236,http,7,2
2016237,http,10,3
2016235,http,8,3
2016286,http,8,3
2016382,http,8,3
2102485,http,3,2
2014737,http,8,3
2014739,http,8,3
2014738,http,8,3
2014740,http,8,3
2014741,http,8,3
2014742,http,8,3
2014743,http,8,3
2014744,http,8,3
2014763,http,8,3
2014877,http,8,3
2014764,http,8,3
2014876,http,8,3
2014765,http,8,3
2014875,http,8,3
2014874,http,8,3
2014766,http,8,3
2014835,http,8,3
2014834,http,8,3
2014806,http,8,3
2014833,http,8,3
2014832,http,8,3
2014831,http,8,3
2014807,http,8,3
2014809,http,8,3
2014808,http,8,3
2012134,http,16,5
2010746,http,7,3
2010745,http,6,2
2010747,http,7,3
2010748,http,7,3
2010749,http,7,3
2014132,tcp,8,3
2012098,tcp,7,3
2012095,tcp,7,2
2012097,tcp,9,3
2002725,tcp,2,0
2001622,http,9,4
2001623,http,6,3
2001624,http,3,1
2009244,udp,1,1
2009245,udp,1,1
2000499,tcp,2,1
2000500,tcp,2,1
2000501,tcp,2,1
2000502,tcp,2,1
2000503,tcp,2,1
2000504,tcp,2,1
2000505,tcp,2,1
2000506,tcp,2,1
2000507,tcp,2,1
2000508,tcp,2,1
2007717,tcp,10,2
2007723,tcp,7,1
2002809,tcp,3,1
2002810,tcp,3,1
2002811,tcp,3,1
2009210,tcp,5,1
2009211,tcp,5,1
2009558,tcp,3,1
2009559,tcp,3,1
2009560,tcp,3,1
2009561,tcp,3,1
2009562,tcp,4,1
2009563,tcp,3,1
2009564,tcp,3,1
2009565,tcp,3,1
2009566,tcp,3,1
2009567,tcp,3,1
2009568,tcp,3,1
2009569,tcp,3,1
2009570,tcp,3,1
2009571,tcp,3,1
2009572,tcp,3,1
2009573,tcp,3,1
2009574,tcp,3,1
2009575,tcp,3,1
2009576,tcp,3,1
2009577,tcp,3,1
2009578,tcp,3,1
2009579,tcp,3,1
2009580,tcp,3,1
2009651,tcp,3,1
2010454,tcp,2,1
2007652,tcp,2,1
2006417,tcp,3,2
2008556,tcp,2,1
2008559,http,2,1
2001628,tcp,5,2
2003536,http,5,2
2003535,http,2,1
2007651,http,2,1
2007653,http,2,1
2007654,http,2,1
2007655,http,2,1
2007656,http,2,1
2007657,http,2,1
2007715,tcp,9,2
2007725,tcp,5,1
2007726,tcp,5,1
2009581,tcp,7,2
2003464,tcp,4,2
2003465,tcp,4,2
2009676,tcp,5,2
2008953,tcp,13,4
2012690,tcp,10,3
2101882,ip,5,2
2101883,http,3,2
2101885,http,3,2
2101886,http,3,2
2101666,http,2,1
2101200,http,2,1
2100494,http,2,1
2100495,http,2,1
2100497,http,2,1
2102043,udp,7,2
2101008,http,2,1
2101292,tcp,2,1
2100498,ip,1,1
2101884,http,4,2
2009345,http,3,1
2009346,http,3,1
2011667,http,3,2
2011668,http,4,2
2009675,http,6,2
2015993,tcp,7,2
2017025,tcp,5,2
2017148,http,5,3
2017317,tcp,3,1
2018392,tcp,13,4
2019284,tcp,8,3
2017121,udp,7,2
2020084,tcp,8,3
2020085,tcp,8,3
2020086,tcp,2,1
2020087,tcp,8,3
2020088,tcp,8,3
2020507,http,6,2
2020506,http,6,2
2020508,http,4,1
2020509,http,4,1
2020510,http,4,1
2020511,http,3,1
2020512,http,6,2
2020513,http,6,2
2020514,http,4,1
2020515,http,4,1
2020516,http,4,1
2020517,http,4,1
2020518,http,4,1
2020519,http,6,2
2020521,http,6,2
2020523,http,6,2
2020524,http,6,2
2020525,http,6,1
2020526,http,4,1
2020527,http,4,1
2020528,http,5,1
2020529,http,4,1
2020530,http,7,2
2020531,http,7,2
2020532,http,7,2
2020533,http,5,1
2020534,http,4,1
2020535,http,5,1
2020536,http,5,2
2020537,http,4,1
2020538,http,4,1
2020539,http,4,1
2020540,http,4,1
2020541,http,4,1
2020543,http,7,2
2020544,http,4,1
2020545,http,7,2
2020546,http,7,2
2020547,http,7,2
2020548,http,4,1
2020549,http,4,1
2020550,http,7,2
2020542,http,7,2
2020551,http,4,1
2020552,http,7,2
2020553,http,7,2
2020554,http,4,1
2020522,http,6,2
2020520,http,6,2
2003071,http,3,2
2002034,http,2,1
2003149,tcp,2,1
2003150,tcp,3,2
2010795,http,6,3
2022819,udp,3,1
2024421,http,6,4
2024977,http,2,1
2017701,http,2,1
2017854,http,5,2
2018136,http,4,3
2001616,http,6,3
2015905,http,8,3
2015906,http,7,5
2025879,http,3,1
2009146,http,2,1
2009147,http,2,1
2009149,http,2,1
2026920,dns,4,2
2026921,dns,4,2
2026922,dns,4,2
2026923,dns,4,2
2026924,dns,4,2
2026925,dns,4,2
2026926,dns,4,2
2026927,dns,4,2
2026928,dns,4,2
2026929,dns,4,2
2026930,dns,4,2
2026931,dns,4,2
2026932,dns,4,2
2026933,dns,4,2
2026934,dns,4,2
2026935,dns,4,2
2026936,dns,4,2
2026937,dns,4,2
2026938,dns,4,2
2026939,dns,4,2
2026940,dns,4,2
2026941,dns,4,2
2026942,dns,4,2
2026943,dns,4,2
2027027,dns,4,2
2027028,dns,4,2
2027029,dns,4,2
2027030,dns,4,2
2027031,dns,4,2
2027032,dns,4,2
2027033,dns,4,2
2027034,dns,4,2
2027035,dns,4,2
2027036,dns,4,2
2027037,dns,4,2
2027038,dns,4,2
2027039,dns,4,2
2027040,dns,4,2
2027041,dns,4,2
2027042,dns,4,2
2027043,dns,4,2
2027044,dns,4,2
2021178,tcp,16,8
2027151,tcp,2,1
2027232,http,7,4
2027233,http,7,4
2027234,http,7,4
2027235,http,7,4
2027236,http,7,4
2027238,http,7,4
2027267,smb,5,2
2027268,http,14,6
2027435,tcp,2,1
2027436,tcp,2,1
2101009,http,2,1
2010819,tcp,7,2
2008298,tcp,6,1
2008300,tcp,4,1
2008301,tcp,4,1
2008302,tcp,4,1
2008303,tcp,4,1
2008304,tcp,4,1
2008305,tcp,4,1
2008306,tcp,4,1
2008307,tcp,4,1
2008308,tcp,4,1
2008309,tcp,4,1
2001801,tcp,6,2
2001802,tcp,6,2
2001803,tcp,6,2
2001804,tcp,6,2
2001805,tcp,6,2
2002327,tcp,6,2
2001241,tcp,13,5
2001242,tcp,11,5
2001243,tcp,15,7
2002192,tcp,3,1
2001254,tcp,6,2
2001255,tcp,6,2
2001256,tcp,6,2
2001257,tcp,6,2
2001258,tcp,6,2
2001427,tcp,3,1
2001260,tcp,3,1
2001262,tcp,6,2
2001263,tcp,4,1
2001264,tcp,3,1
2000355,tcp,3,2
2003031,tcp,3,0
2003032,tcp,3,0
2002334,tcp,4,3
2008289,tcp,4,2
2001595,tcp,3,2
2009375,tcp,3,2
2010786,tcp,4,3
2010784,http,4,3
2101990,tcp,3,1
2101991,tcp,7,2
2101986,tcp,7,3
2101988,tcp,9,3
2101989,tcp,9,3
2101633,tcp,6,2
2101632,tcp,6,2
2101631,tcp,7,2
2100540,tcp,7,3
2100541,http,2,1
2101729,tcp,4,1
2101640,tcp,5,2
2101639,tcp,5,2
2002024,tcp,5,2
2002025,tcp,5,2
2002023,tcp,7,3
2002026,tcp,3,1
2002027,tcp,3,1
2102458,tcp,6,2
2102460,tcp,4,1
2102452,tcp,6,2
2102459,tcp,6,2
2102455,tcp,6,2
2102461,tcp,3,1
2102456,tcp,6,2
2102451,tcp,6,2
2102454,tcp,6,2
2102453,tcp,6,2
2002157,http,2,1
2010785,http,4,3
2001682,http,3,1
2025066,tcp,7,3
2025067,tcp,7,3
2002028,tcp,4,1
2008299,tcp,6,1
2001259,tcp,6,2
2003022,udp,1,0
2100233,tcp,2,1
2100230,tcp,2,1
2100231,tcp,2,1
2100234,tcp,2,1
2100877,tcp,4,2
2100232,tcp,2,1
2100876,http,2,1
2100235,tcp,2,1
2100236,tcp,2,1
2008295,http,7,6
2007866,http,6,5
2008297,tcp,5,1
2002659,http,3,2
2011223,http,4,2
2011970,tcp,4,2
2012333,http,3,2
2012518,http,3,2
2012529,http,3,1
2012530,http,2,1
2012531,http,5,2
2012532,http,4,2
2012610,http,2,1
2012614,http,4,2
2012625,http,5,3
2012630,http,7,6
2012632,tcp,11,4
2012635,tcp,3,2
2012644,http,5,3
2012646,http,3,2
2012687,http,5,3
2012622,http,3,1
2012731,http,2,1
2012732,http,4,3
2012940,http,2,1
2013025,http,2,1
2013024,http,4,3
2013027,http,2,1
2013048,http,3,2
2013061,http,3,1
2013066,http,17,6
2013098,http,4,2
2013137,http,9,3
2013065,http,4,2
2013192,http,3,1
2013244,http,2,1
2013353,udp,3,2
2013354,udp,3,2
2013355,udp,3,2
2013357,udp,3,2
2013358,udp,3,2
2013359,udp,3,2
2013237,http,5,2
2013380,http,5,2
2012884,http,17,6
2013661,http,4,3
2013551,http,2,1
2013552,http,2,1
